ID	TIME	TITLE	ALBUM ARTIST	ALBUM	GENRE	PLAYS	LAST PLAYED
1	6:02	Wastrel	Abjection Ritual	Abjection Ritual	Power Electronics	36	10/03/2016 6:03 pm
2	5:34	Painted Womb	Abjection Ritual	Abjection Ritual	Power Electronics	36	10/03/2016 6:09 pm
3	5:47	Haunted to Distraction	Abjection Ritual	Abjection Ritual	Power Electronics	36	10/03/2016 6:15 pm
4	6:25	A Body Against Itself	Abjection Ritual	Abjection Ritual	Power Electronics	36	10/03/2016 6:22 pm
5	6:49	Thought Hostage	Abjection Ritual	Abjection Ritual	Power Electronics	36	10/03/2016 6:29 pm
6	4:22	Aversor	Abjection Ritual	Futility Rites	Power Electronics	38	10/03/2016 6:34 pm
7	4:10	Barren	Abjection Ritual	Futility Rites	Power Electronics	37	10/03/2016 6:38 pm
8	5:26	Objects of Wrath	Abjection Ritual	Futility Rites	Power Electronics	40	10/03/2016 6:42 pm
9	6:06	Scum Immersion	Abjection Ritual	Futility Rites	Power Electronics	40	10/03/2016 6:48 pm
10	6:21	Thrust in Thy Sickle and Reap	Abjection Ritual	Futility Rites	Power Electronics	40	10/03/2016 6:54 pm
11	6:55	Entropic Embrace	Abjection Ritual	Futility Rites	Power Electronics	40	10/03/2016 7:01 pm
12	7:10	Futility Rites	Abjection Ritual	Futility Rites	Power Electronics	48	10/03/2016 7:08 pm
13	7:40	Tabernacle of \nTeeth\nand Tongues	Abjection\nRitual	Futility Rites	Power Electronics	40	10/03/2016 7:16 pm
14	4:39	Psychotropic Communion	Abjection Ritual	Psychiatric Failures	Power Electronics	34	10/03/2016 7:21 pm
15	6:56	Cursed Receptor	Abjection Ritual	Psychiatric Failures	Power Electronics	32	10/03/2016 7:27 pm
16	5:58	Anti-Psychiatry	Abjection Ritual	Psychiatric Failures	Power Electronics	32	10/03/2016 7:33 pm
17	3:34	Beyond Weights and Measures	Abjection Ritual	Psychiatric Failures	Power Electronics	32	10/03/2016 7:37 pm
18	5:01	Traversing Bedlam	Abjection Ritual	Psychiatric Failures	Power Electronics	32	10/03/2016 7:42 pm
19	5:48	Black Box Abuse	Abjection Ritual	Psychiatric Failures	Power Electronics	32	10/03/2016 7:47 pm
20	8:45	To Silence That Which Plagues Me	Abjection Ritual	Psychiatric Failures	Power Electronics	32	10/03/2016 7:54 pm
